"latitude","longitude","population","total_units","vacant_units","median_rooms","mean_household_size_owners","mean_household_size_renters","built_2005_or_later","built_2000_to_2004","built_1990s","built_1980s","built_1970s","built_1960s","built_1950s","built_1940s","built_1939_or_earlier","bedrooms_0","bedrooms_1","bedrooms_2","bedrooms_3","bedrooms_4","bedrooms_5_or_more","owners","renters","median_household_income","mean_household_income","latitude.longitude","median_house_value"
37.823505,-122.28048,2630,1254,382,3.9,2.09,1.86,3.9,2.6,4.9,2.6,0,3.5,6,6.5,69.9,15.2,28.1,32.5,21.2,1.4,1.6,40.4,59.6,27183,47209,-4625.0763466824,353700
37.81667,-122.279621,2163,947,173,4.1,3.47,2.17,0,27.6,4.4,7,4.2,3,12.6,1.4,39.9,1.9,22.4,42.9,24.9,5.7,2.2,18,82,37679,47593,-4624.20807508207,321600
37.817286,-122.293793,2667,1025,167,4.1,2.51,3.1,36.3,5.2,8,2.7,4.8,1.1,5.2,4.4,32.4,6.4,20.8,42.8,24.7,2,3.2,44.4,55.6,62895,79060,-4624.8193459058,377800
37.809593,-122.298293,1703,854,277,4.6,3.28,2.53,1.1,5.4,9.6,2.1,1.1,9.4,7.6,11,52.8,7.5,16.6,31.6,30.7,5,8.5,15.1,84.9,30370,38382,-4624.04868292475,334100
37.811419,-122.28219,2351,1210,126,4.1,3.45,2.01,0,2.6,2.4,7,10.6,12.1,9.4,8.4,47.4,10.4,21.7,33.8,17.5,8,8.5,14.9,85.1,20874,29672,-4623.66312232761,330900
37.804984,-122.285183,1784,846,79,4.3,2.21,2.72,0,5,11.9,7.3,23.6,15.1,10,4.7,22.2,4.5,22.6,35.9,26.8,10.2,0,23.5,76.5,21571,36145,-4622.98938675207,285500
37.810251,-122.277443,1569,796,131,4,2.25,2.24,0,4.3,4.9,0.8,14.1,1.9,3.4,8.7,62.1,8.8,26,29,24.1,2.8,9.3,37.3,62.7,35080,48131,-4623.34081146819,347600
37.808665,-122.272709,3345,1716,211,2.5,1.71,1.35,20,3.8,1.8,10.8,8.3,5.1,8.1,5.5,36.5,37.8,39.3,14,3.9,1.6,3.4,9.6,90.4,21993,41640,-4622.96789322348,324100
37.800788,-122.270661,2788,1597,375,3,1.54,1.91,2.4,3.2,19.2,8.1,18.8,3.3,4.6,6.8,33.7,14.8,46.2,29.4,4.9,3.3,1.4,21.6,78.4,17569,33976,-4621.92733508087,369900
37.801099,-122.276502,2238,655,82,3,1.71,1.75,32.1,3.2,23.8,1.5,2.1,4.3,5.8,3.8,23.4,30.2,22,36.8,6.1,0,4.9,41.5,58.5,42625,56426,-4622.1861574757,407100
37.7956,-122.267839,4054,2372,334,3.2,1.84,2.05,8.2,38.8,5.9,0.4,9.6,1.6,6.2,3.1,26.3,9.6,46.1,36.6,5.1,2.2,0.4,28.6,71.4,69605,74171,-4621.1863357084,404000
37.803458,-122.263683,4146,3086,118,3,1.26,1.49,2.4,5.6,1.8,10.7,11.7,18.2,11.1,8.5,30,18.8,60.9,17.8,2.5,0,0,12.7,87.3,42358,61668,-4621.99000521581,452300
37.817316,-122.259876,4374,2513,170,3.1,1.96,2.1,2.7,1.6,2.3,6.9,16.3,12,12.5,9,36.6,10.1,60.5,20.4,6.2,0.6,2.2,12.2,87.8,33635,51389,-4623.54036481282,351700
37.813421,-122.254114,4482,2932,369,3.3,2.11,1.77,0,0.4,0.4,3.6,13.8,36.5,17.1,11.6,16.5,5.4,55,29.3,5.1,2.5,2.6,22.1,77.9,56303,73091,-4622.84628166399,364200
37.811375,-122.258315,2587,2030,318,2.8,1.44,1.44,0,0,0.7,2.7,15.8,31.4,12.4,5.1,31.9,22.3,50.8,24.2,1.5,0.5,0.7,10.9,89.1,60278,68211,-4622.75499533312,343600
37.809381,-122.253441,1724,1184,33,3.5,1.54,1.67,0,0,0,5.3,9.2,25.8,15.3,7.9,36.6,5.8,59.7,30.7,3.7,0,0,18.9,81.1,66761,76234,-4622.32692933002,377900
37.814476,-122.242249,3461,2033,139,4.2,2.37,1.7,0,2,1.6,1.2,10.7,4.2,12,8.7,59.6,7.9,32,32.5,15,10,2.6,33,67,78036,107081,-4622.52659099652,720200
37.817368,-122.249127,3584,2374,122,3.7,1.92,1.58,0,0,3.6,7.5,20.2,28.7,8.8,0.7,30.5,3.6,43,42.4,6.2,2.4,2.4,33,67,61995,85867,-4623.14022343774,426900
37.830348,-122.250622,2929,1892,207,3.6,1.98,1.56,0.7,2.5,0.6,3.2,9.2,12.6,11,5.4,54.8,7.8,40.1,35.8,12.9,3.3,0,39.8,60.2,73899,94146,-4624.78357347646,682200
37.825832,-122.251044,2283,1773,174,3.3,1.81,1.43,0.6,0,1.1,3.7,14.3,21.2,8.5,8,42.6,15.3,57.6,15.4,7.6,3.2,0.8,10.8,89.2,50684,67765,-4624.24745216861,579700
37.837583,-122.229689,3483,1457,64,7.2,2.48,1.86,0,2.5,16.6,0.7,0.6,17.9,19.6,12.1,30.1,0,11,19.6,34,28.9,6.5,80.8,19.2,152853,198644,-4624.87600260169,918900
37.844684,-122.2158,5314,2433,233,6,2.47,1.93,1.1,3.9,45.5,2.3,4.2,8.1,7.9,7.7,19.4,0,12,29.8,30.1,22.1,6.1,84.5,15.5,133347,165338,-4625.2183308072,857400
37.834622,-122.202426,5784,2606,134,6.4,2.32,2.74,0.6,4,5.6,3.8,18.3,19.6,22.6,16.9,8.6,0.6,0.7,21.4,45.2,23.3,8.9,83.3,16.7,125714,152845,-4623.48259519297,832000
37.812155,-122.207488,1954,842,47,7.4,2.56,2.6,0,0,1.9,1.7,7.2,11.3,17.3,18.4,42.2,0,2.9,18.3,49,23,6.8,83.5,16.5,137232,138297,-4620.92847841664,770800
37.804704,-122.213272,2684,1337,51,4.6,2.51,1.42,0,0,0,1.2,2.3,19.5,16.4,9.7,50.9,9.2,22.7,34.9,25.7,6.2,1.3,57.7,42.3,88833,88446,-4620.23657283149,648900
37.80394,-122.221525,4129,2032,56,5.1,2.23,2.3,0,0,0,5.2,2.3,0,11.1,6.2,75.2,0.6,21,39.2,29.5,6.4,3.2,60,40,65158,94377,-4620.4551978085,599400
37.808241,-122.225708,3136,1663,231,5.8,2.62,1.67,0,0,0,1.7,3.5,6.9,3,13.1,71.8,2.6,20.6,26.5,30.5,17.8,2,63,37,108472,133830,-4621.13902445963,721200
37.811496,-122.232389,4197,1669,101,7.5,2.8,1.83,0,2.9,0.6,0.8,1.7,2.3,6.2,7,78.4,0,3.9,7.7,54.9,26.8,6.7,91.1,8.9,166554,212536,-4621.78948774394,890700
37.805121,-122.244707,4597,2660,287,4.2,2.73,1.64,0,0,0.4,0.8,5.2,9.7,17.3,14.6,52.1,4.6,37.9,30.5,16.8,7.5,2.7,23.8,76.2,59332,72401,-4621.47593974455,569700
37.802213,-122.25137,2603,1680,63,3.5,1.51,1.65,0,2.7,0.7,3.1,12.3,15.9,10.9,6.4,48,14.4,42.4,36.8,2.7,2.9,0.7,11.9,88.1,61750,73818,-4621.37232828181,438000
37.798371,-122.254529,2530,1623,98,2.7,2.22,1.75,0.2,0,0,9.1,9.3,11.7,11.5,11.4,46.8,20.7,64.4,10.6,4.1,0,0.2,3.9,96.1,20787,34790,-4621.02204357226,528800
37.796502,-122.249274,3957,1815,259,3.3,3.38,2.23,0,0,0.8,1.8,10.6,8.8,13.3,14,50.8,15.1,43.3,23.6,10.2,5.7,2.1,18.3,81.7,27360,41809,-4620.59492923955,325000
37.793393,-122.245787,3114,1284,188,3.4,2.33,2.21,0,0,0,10.4,5.7,5.5,19.2,13.6,45.7,9.2,44.2,29,14.3,0,3.3,21.2,78.8,30534,42939,-4620.08307068529,320400
37.800774,-122.237766,3137,1539,142,3.8,3.24,1.88,0,0.6,3.1,1,1.6,10.7,10.2,5.1,67.7,11.3,41.8,18.4,18.6,6.2,3.8,24.1,75.9,41820,53145,-4620.68216683088,462300
37.797944,-122.229405,3243,1530,322,3.7,3.23,2.07,0,0,0,12.1,3.6,14.9,16.3,19.8,33.3,13.4,32.7,32.8,16.7,3.6,0.8,29.6,70.4,43750,55855,-4620.02020534332,394000
37.793907,-122.233227,3965,1433,135,4.8,3.06,3.05,0,1,2.9,0.8,2.9,7.4,10.9,22.5,51.6,2.4,11,39.6,34.2,8.1,4.7,42.1,57.9,38472,48021,-4619.67121354789,353300
37.787735,-122.236032,3910,1169,169,4.3,4.2,3.28,0,2.2,0,6.3,7.4,8,18.5,14.4,43.3,2.6,27.9,20,43.8,5.7,0,21.6,78.4,38879,44860,-4619.02278466752,571700
37.79099,-122.241014,3035,1054,24,4.5,3.17,3.23,6.9,0,2.6,5.5,9,4.9,15.7,15,40.4,4.4,20.2,43.3,27.1,4.1,0.9,35.8,64.2,38523,43573,-4619.60893766386,332800
37.792134,-122.252325,3450,1589,175,3.2,3.93,2.2,0,2.8,4.5,13.5,13.7,6.2,16.3,11.6,31.5,14.5,42,19.9,18.8,2.6,2.2,7.9,92.1,24922,45824,-4620.17624821155,402100
37.775082,-122.229059,4381,1606,241,4.4,2.84,2.73,11.6,1.7,29,5.5,1.6,4.5,0,6.8,39.2,2.4,20.9,35.6,33.7,5,2.4,28.1,71.9,52917,59223,-4617.21272650784,348900
37.784942,-122.23063,4649,1607,226,4,3.69,3.76,1.9,1.1,6.9,2.6,12.1,6.6,3.4,31.1,34.3,7.6,30.5,33.5,20.5,6.8,1.1,15.5,84.5,29727,43231,-4618.47726517346,416300
37.789134,-122.225086,4113,1368,169,4.5,3.68,3.26,1.8,1.6,0,8.4,15.4,13.2,9.1,5.7,44.9,6.7,20.2,31.1,20.9,17.2,4,42.3,57.7,37731,48206,-4618.78015301552,304900
37.794392,-122.22175,2145,803,46,4.4,3.33,2.29,0,1.5,5.4,8.6,0,18.7,7.1,14.8,44,9.7,8.1,41,39.5,1.5,0.2,44.3,55.7,48694,56143,-4619.296730426,405100
37.788388,-122.217093,5930,2059,365,4.4,3.82,2.91,1.4,2.4,5.3,0.5,5.2,7.9,14.3,22,40.9,2.1,18.2,45.6,23.8,8.9,1.5,39.3,60.7,34669,53048,-4618.38693051608,342100
37.793538,-122.208333,4596,1914,110,4.2,2.6,2.58,0,2.8,1.9,9.8,5.6,16.7,10,16.8,36.3,0.8,23.9,53.3,20.7,1.3,0,37.9,62.1,49357,53550,-4618.68527715215,384900
37.795766,-122.214744,2493,1003,121,4.4,2.8,2.37,0,1.1,6,3.9,18.7,21.8,5.6,11.3,31.6,0,26.1,39.4,21.2,11.3,2,43.3,56.7,50793,64401,-4619.1998659739,351000
37.802231,-122.20407,5048,2363,221,5.2,2.5,1.9,3.7,0.3,6.4,3,6.3,10.5,8.6,20.6,40.5,1.9,10,41.8,39.2,4.7,2.5,69.3,30.7,94565,108294,-4619.58648328017,540000
37.796987,-122.195694,3428,1505,133,5,2.59,2.55,0,0,0,3.5,17.9,6.6,12.2,20.1,39.7,0,14.9,37.1,34.9,9.2,3.9,67.7,32.3,72568,86191,-4618.62905757398,524900
37.792556,-122.191739,3719,1626,100,5.2,2.51,2.58,0.7,0.7,4,6.7,10.6,10.4,17,15.6,34.4,0.6,4.4,48.4,27.2,17.5,1.8,61,39,77097,110022,-4617.93813889488,556500
37.783072,-122.214771,3414,1126,120,4.1,3.3,3.83,7.2,0,4.8,0,23.2,14.5,7.5,18.5,24.4,6.9,22.5,48.6,14.7,6,1.4,25.1,74.9,29432,47516,-4617.64949215651,352300
37.778084,-122.219368,6746,1916,242,3.8,3.26,3.53,1.9,3.8,0.6,1.3,7.9,9.4,2.4,16,56.7,15.9,27.5,29,18.6,5.8,3.3,25.3,74.7,36667,47252,-4617.21355073091,480400
37.766422,-122.208745,2598,794,51,4.8,4.32,3.4,0,0,1.5,3.5,1.8,11.8,17.3,13.2,50.9,8.9,9.8,29,37.8,10.8,3.7,34.1,65.9,43224,56806,-4615.38703576039,202000
37.770995,-122.206895,3954,1196,78,4.6,3.83,3.54,3.7,0,0.7,5.3,5,4.7,15.6,15,50.1,6.7,22.8,26.8,36.9,0.9,5.9,33.6,66.4,36552,53311,-4615.87602001053,293500
37.776356,-122.193265,4109,1913,176,5.7,2.48,2.1,0,0.8,0.6,2.8,0.6,1,6.3,19.4,68.4,5.5,2.4,45.3,39.6,6.3,0.9,80.7,19.3,69637,82043,-4616.01627944234,425800
37.782023,-122.189557,2425,816,117,5.4,2.51,3.94,0,4.7,0,3.7,3.6,4,21.6,22.2,40.3,0,2.8,45.3,37.9,8,6,80,20,60469,71105,-4616.56865293381,413900
37.802069,-122.181962,2671,1050,68,6.6,2.29,2.97,1.4,9.3,10.1,8.1,15.5,16.3,29,7.5,2.8,0.9,0.7,11.2,60.7,18.7,7.9,86.3,13.7,115729,134553,-4618.73095807938,717600
37.78272,-122.15649,5991,2769,261,6.1,2.34,2.12,2.9,6,5.1,22.2,11.4,26.7,9.5,12.2,3.9,1.7,5.4,23,39.9,26.2,3.9,80.8,19.2,108468,139518,-4615.4044578528,686700
37.774619,-122.176128,4054,1947,284,4.5,2.19,2.45,1.1,0,0,11,8.8,6.7,17.4,21.7,33.3,1.1,15.6,48.9,28.1,5.5,0.7,50,50,50186,61334,-4615.15668609523,399300
37.770292,-122.164941,4167,1941,140,5.3,2.7,2.83,0,0,3.7,6.7,1,13.9,21.7,30.1,22.9,0,10.7,40.1,37.4,11.5,0.4,69.1,30.9,52075,69759,-4614.20549373277,391700
37.764837,-122.17107,3323,1413,290,4.9,3.09,3.25,0.5,1.2,3.9,0,4,2.2,9.4,28,50.8,0.7,17.2,44,33.4,3,1.6,50.9,49.1,35781,48911,-4613.77054466559,264600
37.760259,-122.178894,4972,1768,248,4.8,3.54,3.28,0.6,1.1,1.2,8.5,5.8,9,24.1,27,22.6,1.8,8.7,54.3,28.2,6.3,0.7,51.3,48.8,36429,43402,-4613.50668177355,333400
37.764969,-122.183777,5492,1971,286,4.9,3.54,3.2,0,11.3,9.2,1.8,2.5,7.4,10,20.6,37.3,1.6,18.5,45.2,23.1,8.2,3.4,44.9,55.1,33539,47571,-4614.26655070791,280000
37.768332,-122.18978,7207,2616,542,4.7,2.93,3.19,0.9,5.1,4.2,2.1,9.5,11.1,9,14.2,43.9,4.2,15.3,45.1,32.9,2.1,0.4,46.8,53.2,40680,46500,-4614.90417804696,317400
37.759438,-122.196713,5547,1899,207,4.4,3.97,2.9,10.9,10.4,3.5,4.2,3.8,7.7,18.4,28.3,12.7,1.3,16.6,41.5,36.1,2.3,2.3,27.4,72.6,22587,32622,-4614.07920832729,347300
37.755682,-122.186029,3414,1117,131,4.2,3.92,2.75,0,1.2,15,15.6,7.9,9.3,7.2,25.1,18.9,0,24.7,44.4,23,7,0.9,33.5,66.5,21216,29070,-4613.21685576678,222500
37.734916,-122.188832,3552,1117,67,5.1,3.22,3.94,0,0,9.3,3.8,9.5,1.7,25.5,40.8,9.4,0,2.1,32.2,50.5,9.1,6,43.2,56.8,35357,45816,-4610.78531165811,275000
37.732071,-122.183268,2255,704,54,4.9,3.8,3.71,7.8,0,5,3.1,0,10.7,14.3,48.6,10.5,0,0,48.3,37.2,14.5,0,66,34,59655,68738,-4610.22774318803,268400
37.729406,-122.178207,3152,980,115,4.7,3.42,3.21,1.9,0,13.7,1.7,2,9.9,18.8,49.6,2.3,0,4.7,47.1,42.1,6,0,63.4,36.6,40766,45616,-4609.71117625504,283100
37.745747,-122.176564,4306,1247,200,4.7,4.89,3.81,3.9,0,1.1,2.4,6,13.2,15.1,14.2,44.1,4.3,8.4,56.9,23.6,5.3,1.5,45.3,54.7,49083,56453,-4611.64567407331,307900
37.751321,-122.180804,3122,1034,174,4.8,3.99,4.05,6.3,2.7,0,0,1.4,12.5,22.4,26,28.7,2.5,11.5,41.3,32.8,11.9,0,33.7,66.3,34167,47780,-4612.48675184208,348600
37.753377,-122.172472,5063,1674,219,4.8,4,3.7,0,0,5.8,3.9,9.6,18.6,23.2,10.9,28.1,2.6,4.4,47.2,32.5,11.3,2,36.4,63.6,41778,51337,-4612.42339443794,354400
37.75562,-122.165716,4696,1792,294,4.4,3.71,2.78,0,1.9,3.7,4.7,4.6,16.5,19.9,12.3,36.6,0.7,17.2,49.8,29.6,2.6,0,32.6,67.4,35658,43381,-4612.44235032392,264900
37.760102,-122.134933,3308,1481,77,6.2,2.32,1.88,0.9,0.3,0.7,6.5,18.6,19.9,34.4,12.4,6.5,2.6,0.7,13.1,55.8,23.5,4.3,90.7,9.3,108214,119078,-4611.82752784317,585800
37.74341,-122.135552,2805,1228,64,6.1,2.29,4.2,0,0.2,1.1,6.3,12.9,20.5,26.5,18,14.4,0,3,24.2,55,16.9,0.9,91.6,8.4,77000,92989,-4609.81221471232,548700
37.747626,-122.153917,2406,1045,64,5.3,2.68,3.28,0,0,6.8,14.7,9.1,4.2,28.6,18.3,18.3,0.9,11.5,28.7,41.5,12.9,4.5,52,48,41250,59405,-4611.02037335104,370400
37.745759,-122.157499,3062,1245,188,4.5,2.42,3.43,0.7,0,5.4,5.8,9.4,7.2,17.2,31.2,23.1,3.8,9.7,59.8,21,4.9,0.8,48,52,40474,51661,-4610.92751729674,262500
37.741093,-122.162165,3792,1397,123,5.1,3.2,3.58,0,15.5,1.8,1.9,3.8,7.2,16.4,18.1,35.2,3.8,11.1,39.2,37.7,7.4,0.9,65.8,34.2,44746,69077,-4610.53363034634,271400
37.807099,-122.289823,2193,1120,69,4.2,2.93,2.24,2.2,17.4,11.1,9.3,8.7,7,13.6,3.3,27.5,5.2,22.1,40,22.6,7.1,3,12.8,87.2,19351,28868,-4623.42344485348,388700
37.894631,-122.290916,2355,949,31,5.9,2.48,2.94,0,0.8,0,0,1.1,3.5,4.7,14.4,75.4,0,10.4,35,35.8,17.2,1.6,72.3,27.7,117000,133285,-4634.169136472,704200
37.894805,-122.297564,2898,1270,43,4.6,2.75,2.15,0,0,1.6,6,4.2,17.6,6.5,22,42.1,0.9,24.4,45.2,19.9,7.6,2,41.5,58.5,73665,84058,-4634.44233975502,661000
37.886543,-122.295159,2308,1027,145,4.6,2.6,2.35,0,1.1,2,2.5,8.3,9.3,16.2,20.6,39.9,1.4,21.6,49.7,21,5.1,1.3,37,63,65726,89174,-4633.34080014534,639200
37.899169,-122.266302,1992,891,22,6.5,2.44,3.92,2.1,1.3,2.1,2.9,7.5,2.5,16.6,15.3,49.6,0,2.5,19.2,46,28.2,4.2,94.1,5.9,168750,200929,-4633.79124250304,884500
37.897263,-122.274705,3563,1538,82,7.4,2.61,1.43,0,0.5,1.4,2.6,4.1,2.3,11.6,4.1,73.3,3.2,0.7,9.2,37.4,34.9,14.6,92.1,7.9,157500,186191,-4633.87665363242,999700
37.891135,-122.28171,3844,1751,107,6.2,2.48,2.06,0,0.5,0.8,1.8,1.4,4.2,8.1,4.1,79.2,0.5,11.5,23.9,38.3,17,8.8,82.4,17.6,116200,154589,-4633.39278164085,871600
37.888419,-122.270734,1593,686,0,6.9,2.46,2.63,0,0.7,3.4,0,1.7,5.2,3.4,5.1,80.5,3.2,4.1,14.3,34.7,32.9,10.8,82.5,17.5,132258,175767,-4632.64480122955,896700
37.891531,-122.260296,3640,1681,64,6.3,2.37,2.1,0,1.3,1.7,0.7,3.4,11.5,26.3,13.4,41.6,3.2,8.9,17,41.8,22.4,6.7,83.1,16.9,134875,176674,-4632.62979595318,912600
37.883504,-122.257426,3558,1704,132,6,2.46,1.68,0.8,0.9,1.3,6.3,2.2,8.8,22.8,6.3,50.5,7.1,16,16,30.2,20,10.9,72.8,27.2,121111,141483,-4631.5396869007,901300
37.881464,-122.27027,3198,1728,97,4.3,2.53,2.28,0,1.6,4.9,6.4,7.5,10.8,16.5,6,46.4,4.6,29.5,35.4,21.5,5.8,3.2,37.3,62.7,80491,99156,-4631.77683127528,699100
37.879992,-122.277817,2007,960,80,5.8,2.35,2.36,0.5,1,4.5,1,3.1,1,4.8,10.1,73.9,2.4,15,30.1,31.6,17.7,3.2,69,31,82917,105929,-4631.88272973746,694100
37.879488,-122.289683,3632,1857,238,4.7,2.31,2.01,0,0,0.6,3.2,0,2.4,9.9,28.3,55.5,2.1,23.1,48.8,18.6,7,0.3,64.3,35.7,91774,108201,-4632.2705797223,652900
37.873165,-122.296631,2685,1156,121,4.2,2.43,1.98,0.6,2.3,0.9,1,7.8,8.8,14.6,33.4,30.6,4.4,21.8,44.4,23,5.4,1,47,53,43771,54928,-4631.76048480712,613600
37.87252,-122.288105,3144,1643,130,4.2,2.15,1.82,0,0,0,2.6,1.9,8.3,18.3,19.1,49.8,7.6,33.6,43.3,7.3,2.9,5.3,49,51,54083,87386,-4631.3587023746,608800
37.873995,-122.277501,3387,1813,218,4.2,2.31,2.12,4.2,2.2,3.8,4.4,9.6,6.9,10.1,6,52.8,9.9,28.3,35.5,17.4,5.7,3.2,44.1,55.9,48776,71676,-4631.1374614865,638800
37.875219,-122.269324,4196,2296,12,3.2,2.67,1.95,0.8,7.3,2.8,4.7,10.1,13.4,8.1,11.5,41.3,10.8,50.9,26.4,7.8,2.2,2,9.4,90.6,39083,60120,-4630.97742348196,623000
37.876904,-122.259915,4658,1660,113,3.3,2.22,1.65,0,1.5,0,2.8,3.7,11,7.7,15.7,57.7,15.9,46.6,23.1,9,2.6,2.7,20.6,79.4,45875,77900,-4630.82706350316,640300
37.867659,-122.251235,4885,1150,87,3.9,2.23,2.48,0,4.3,2.8,5.2,8.1,13.6,16.9,9.9,39.2,7,33,32.4,10.9,9.7,7,17.3,82.7,35352,59007,-4629.36807930887,936400
37.866717,-122.258913,8368,1484,106,2.9,3.33,1.97,0,4,2.4,5.6,14.8,12.8,9.6,11.2,39.7,21.2,53.9,13.7,3.6,5.1,2.4,0.2,99.8,25145,28492,-4629.54365929862,350000
37.867025,-122.277077,4396,2177,67,4.4,2.73,2.1,0,0.9,5.7,2.2,5.8,8.2,10.8,11.6,54.8,2.7,24.7,44.1,22.3,5.1,1.1,44.6,55.4,75030,89394,-4630.26913168592,576200
37.866041,-122.285919,3964,2006,201,4,2.67,1.83,1,3.4,0.9,4.3,3,9.9,15,10.9,51.7,9.5,29.2,38.2,16.2,4.8,2.1,37.6,62.4,48956,63703,-4630.48362257668,587000
37.864428,-122.293691,2794,1188,115,4.5,3.14,2.33,0,0,1.9,6.1,6.2,13.2,13.7,11.4,47.5,8.9,24.3,29.9,25.8,8.7,2.4,38.4,61.6,48906,67469,-4630.58065772375,498700
37.857371,-122.283915,3647,1693,159,4.8,2.86,1.94,2,0.4,0,1.6,1,11.6,10.2,13.7,59.4,3.2,28.2,33.4,29,5.8,0.5,56.6,43.4,53587,69354,-4629.34753748747,541800
37.858202,-122.275892,4685,2243,222,4.2,2.46,1.96,1.9,1.3,0,1.7,5.2,14.3,19.2,5.8,50.6,6.1,27.9,38.7,16.2,9.6,1.6,38.1,61.9,38860,64697,-4629.14541906618,554000
37.859124,-122.267924,3118,1438,105,4.6,2.72,2.21,3.4,0,1.3,4.3,11.2,10.2,6.5,5.8,57.3,7,21.1,33.2,17.7,14.3,6.8,37.1,62.9,70863,76083,-4628.95649593858,655900
37.863529,-122.258796,5659,2604,157,3.5,2.32,2.38,0,3.9,3.8,7.6,9.6,22.5,14.1,5,33.5,11.4,33.6,35.6,11.3,3.1,5,15.1,84.9,35589,52798,-4629.14946785108,583300
37.862379,-122.250259,3633,1419,216,4.5,2.56,1.88,0,0.6,1.9,6.5,2.3,5.5,11.3,7,64.9,13.5,27.6,13.9,15.5,20.2,9.4,40.1,59.9,57875,105233,-4628.68563910616,972900
37.852678,-122.266679,2020,880,75,4.7,2.78,1.75,0,1.3,7.5,0,2.3,3.6,2.2,14.3,68.9,0.5,35.7,29.8,29.1,1,4,45.2,54.8,52962,69854,-4628.12123031636,402000
37.850293,-122.27484,3716,1614,164,4.1,3.28,2.36,0.5,4.3,1,1.2,8.2,7.1,12.9,14.4,50.2,4.6,25.7,47.9,15.4,5.1,1.2,21.1,78.9,43810,54286,-4628.13852052812,587500
37.850348,-122.281464,2172,1020,54,4.2,2.61,2.1,0,1.8,1.7,0,5.5,6.2,19.4,15.3,50.2,0,22.3,57.6,15.8,3.3,1,37.3,62.7,34565,50966,-4628.39596634947,341200
37.838229,-122.301937,1596,1266,0,3.4,1.68,1.53,0,0,3.2,2.7,68.1,18.5,6.6,0,1,10.1,71.2,13,4.1,1.7,0,54.7,45.3,75778,102278,-4627.68869934957,293200
37.841394,-122.294966,2807,1810,364,3.4,1.52,1.46,9.7,21.9,18,47.1,3.4,0,0,0,0,12.8,55,28.9,3.3,0,0,25.6,74.4,69352,94321,-4627.8119926226,487500
37.843845,-122.289329,2502,1379,179,3.6,1.98,2.03,25.6,45.3,6.7,0,6.5,0,2.2,1.7,12,2.9,34.2,57.4,5.4,0,0,43.6,56.4,92174,109827,-4627.89841183,394800
37.833049,-122.280897,3175,1797,197,3.6,2.07,1.9,10.2,4,18.8,6.2,3.1,5.8,12,6.2,33.7,12.7,44.4,27.4,13.6,1.1,0.9,25.3,74.7,50682,59392,-4626.25916796495,329900
37.764448,-122.23133,3646,1427,91,6.3,2.59,2.39,2.3,0,0,2,1.8,7,1.5,13.2,72.2,2.2,12.7,27.1,43.1,14.2,0.7,64.3,35.7,99000,117761,-4615.99870575584,772900
